G.Id,Grievance Description,Department,Line Department,Service Name,Grievance Name,Grievance SubCategory1,Grievance SubCategory2,Service Type,District,Taluk,GP/Village/Hobli,Created Date,Status,Days Left Before Escalation,Days Pending Beyond Deadline,Officer Role,Pending with / Closed By,Grievance Source,call recording link ,Unnamed: 20
243253,"CITIZEN SAYS HE IS HAVING ISSUE ON JJM WORK OVER HEAD TANK is not constructed LABOUR COLONY NEAR GRAM PANCHAYATH DEVASUGUR, PLEASE DO ATTEND THE MATTER AND KINDLY DO THE NEEDFUL.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,RAICHUR,Raichur,DEVASUGUR / Deosugur,29/05/2025 10:37 AM,Closed by Officer,,,L2,Executive Engineer-RDWS-Raichur,iPGRS-Call Center ,https://drive.google.com/file/d/1xsKel9rfVhOhfq12EJPDCLn3FtdbWM_c/view?usp=sharing,
243250,"Citizen reports that in their locality Road not maintained properly in their locality past 1 year 50% work done but they are completed the road construction  , which is effecting to walk in that mud road and it is unsafe to travel in that road  & Potholes, cracks, and uneven surfaces can cause vehicles to skid, lose control, or collide, increasing the risk of accidents. It is unsafe for the  senior citizen   to walk on this road. Please do the needful. ",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road damaged due to heavy rain or flood,,Non Sakala,BENGALURU URBAN,Bengaluru South,,29/05/2025 10:10 AM,InProcess,24.0,,LMF,Assitance Executive Engineer-PRED-BENGALURU SOUTH,iPGRS-Call Center ,https://drive.google.com/file/d/1ztlaf5aq9n7iIfBb17LQNlaZIncpFOwY/view?usp=sharing,
243060,"CITIZEN SAYS THAT HE IS FACING A PROBLEM WITH DRINKING WATER ISSUES FROM PAST 3 MONTHS DUE TO THIS ISSUES CITIZEN ARE FACING PROBLEM AND  CITIZEN ALSO VISITED THE CONSED DEPARTMENT BUT THERE IS NO PROPER REPOSES, SO HAS PER THE CITIZEN REQUEST KINDLY DO THE NEEDFUL, ",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Inadequate / Less Water Supply,Non Sakala,RAMANAGARA,Ramanagara,MANCHANAYAKANAHALLI / Bhimenahalli,27/05/2025 05:30 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-RAMANAGARA,iPGRS-Call Center ,https://drive.google.com/file/d/1TvHbFeE4_C5exw4QpL8FCuRDxzE78ZXM/view?usp=sharing,
243045,CITIZEN SAYS THAT SAVALANGA GRAM PANCHAYATH IS NOT PROVIDING THE DEMAND NOTICE FOR LOAN PURPOSE OF THEIR PROPERTY AS HE IS REGULARLY PAYING THE TAX AND ALSO THEY HAVE KHATA CERTIFICATE AND HIS EPID NUMBER IS 151200503300300338 AND HE SAYS THAT THE PANCHAYATH IS NOT RESPONDING FOR THEIR REQUEST AS HE HAS VISITED PANCHAYATH MANY TIMES HENCE THE OFFICER SHOULD LOOK INTO THE MATTER AND PROVIDE DEMAND NOTICE . PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate, Demand register,Issues in demand register,not adding property in the demand register,,Non Sakala,DAVANGERE,NYAMATHI,SAVALANGA / Sovalanga,27/05/2025 04:22 PM,Closed by Officer,,,LMF,Panchayat Development Officer(PDO) - NYAMATI - SAVALANGA,iPGRS-Call Center ,,
243021,"The citizen states that in his Locality ""WARD NO : 197, MEGHALKODI AREA, Near UDBHAVA MARDAMMA TEMPLE, B BAIRAPURA VILLAGE, ಬಸವಘಟ್ಟ , ಹಾಸನ - 573162 "" THERE IS NO PROPER ROAD MAINTENANCE FORM PAST 5 YEARS AND ALSO CITIZENS ARE FACING TRAVELLING ISSUES IN RAINY SEASON, so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action.",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,HASSAN,Hassan,BASAVAGATTA / Basavagatta,27/05/2025 02:38 PM,Closed by Officer,,,LMF,Assitance Executive Engineer-PRED-HASSAN,iPGRS-Call Center ,https://drive.google.com/file/d/1fOhzcQ81sIkl_hRM0DNkXCsuxFXXAlTf/view?usp=sharing,
242966,CITIZEN SAYS THAT IN THEIR VILLAGE BRIDGE CONNECTING FROM BELLUDI TO RAMATHIRTHA VILLAGE HAS BEEN COMPLETELY DAMAGED DUE TO RAIN AND THERE IS A NEED TO CONSTRUCT BRIDGE SINCE 5 YEARS THE OFFICER HAS LOOK INTO PROBLEM BUT DID NOT TAKE ANY ACTION . PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Connecting Roads and Bridges,Connectivity issue pertaining to roads and bridges,Bridge damaged due to heavy rain or flood,,Non Sakala,DAVANGERE,Harihar,BELLUDI / Belludi,27/05/2025 10:01 AM,Closed by Officer,,,L2,Executive Engineer-PRED-Davangere,iPGRS-Call Center ,https://drive.google.com/file/d/1xIvBMEECu_G7uja7FWWDIVb_lZvq4dCz/view?usp=sharing,
242962,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS NOT COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 8 MONTHS, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKEN SO FAR, SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,TUMAKURU,Sira,YADALAKUKU (HOSAHALLI) / Gopikunte,27/05/2025 09:41 AM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-SIRA,iPGRS-Call Center ,https://drive.google.com/file/d/1-Mn38_Mh_19R-56eaHc06_C3nPYwfmDf/view?usp=sharing,
242804,CITIZEN SAYS THAT IN HIS VILLAGE JJM WORK NOT DONE PROPERLY AND COMPLETELY IN THEIR LOCALITY THEY ARE FACING THIS ISSUE FROM PAST 8 MONTHS REGARDING THIS ISSUE HE VISITED TO CONCERN DEPARTMENT BUT DID NOT GET ANY RESOLUTION AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL	,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,CHIKKAMAGALURU,Chikkamagaluru,ANOORU / Koduvalli,26/05/2025 11:50 AM,InProcess,9.0,,L2,Executive Engineer-RDWS-CHIKKAMAGALURU,iPGRS-Call Center ,https://drive.google.com/file/d/19C1MWCd1qrWb13Cbk8fOpFjMtxmMe9hk/view?usp=sharing,
242588,"CITIZEN SAYS THAT IN THEIR LOCALITY DRAINAGE HAS BEEN BLOCKED AND OVERFLOWING AND HE REQUEST TO CLEAR THIS BLOCKAGE DUE TO THIS BAD SMELL IS ARISING AND THEY ARE FEAR OF HEALTH RISK . PLEASE KINDLY TAKE ACTION .
ADDRESS : 6TH CROSS BOMMASANDRA INDUSTRIAL AREA POLICE LAYOUT",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,BENGALURU URBAN,Anekal,HENNAGARA / Kachanaikanahalli,24/05/2025 06:07 PM,InProcess,7.0,,L2,Executive Officer-ZP -EO-ANEKAL,iPGRS-Call Center ,https://drive.google.com/file/d/1z2yiGJgwi6Uq0W71lll0WVNy1dc5oeEp/view?usp=sharing,
242445,"The citizens claim that the RO plant was not operating in their community from past 6 months, despite their repeated visits to the panchayat. They claim that just one of the four RO plants in their area was operational, and as a result, they were suffering from an inadequate supply of clean water.Please kindly do the need full",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,RO Plant Maintenance Problem,Operation & Maintenance,Motor (pump-set) not working ,Non Sakala,KALABURAGI,Jevargi,NEDALAGI / Billad,24/05/2025 12:49 PM,InProcess,4.0,,L2,Executive Engineer-RDWS-KALABURAGI,iPGRS-Call Center ,https://drive.google.com/file/d/1aV7rSPq50DujuUVdEOSl_3QbeX081UQc/view?usp=sharing,
242359,"The citizen claims that his village has not had proper road maintenance for the past nine years (since 2017). As a result, he is unable to travel from one location to another and has filed a grievance last time with ID 204061 and 234193. The citizen visited the relevant department, but they did not respond appropriately, so he asked that they please take the necessary action.",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,MYSURU,Tirumakudal - Narsipur,,23/05/2025 02:13 PM,Resolved (Feedback Taken),,,LMF,Assitance Executive Engineer-PRED-TIRUMAKUDAL-NARSIPUR,iPGRS-Call Center ,https://drive.google.com/file/d/1PkkpT1tahY9a6XDypQiUBBam-NBoUeNp/view?usp=sharing,
242356,"The resident claims that for the past 15 days, there has been drainage blockage and overflow in his village. As a result, day by day, mosquitoes are growing and residents are experiencing health problems. The resident has visited the appropriate department, but they have not responded appropriately. As per the resident's request, kindly take the necessary action.	",Rural Development and Panchayath Raj Department,Rural Development Commissionerate,MGNREGS,Community asset not included in action plan,,,Non Sakala,MANDYA,Krishnarajpet,ANAGOLA / Anegola,23/05/2025 01:34 PM,Registered & Sent for Scrutiny,7.0,,LMF,Panchayat Development Officer(PDO) - KRISHNARAJPET - ANEGOLA,iPGRS-Call Center ,,
242340,CITIZEN SAYS THAT THERE  DRAINAGE OVERFLOW FROM PAST 3 DAYS .DUE TO THIS ISSUES CITIZEN ARE FACING PROBLEM AND ALSO DUE THIS ISSUES CITIZEN ALSO VISITED THE CONSED DEPARTMENT BUT THERE IS NO PROPER REPOSES AS PER THE CITIZEN REQUEST KINDLY DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,UTTARA KANNADA,Ankola,VANDIGE / Hosgadde,23/05/2025 11:55 AM,InProcess,3.0,,L2,Executive Officer-ZP -EO-ANKOLA,iPGRS-Call Center ,,
242233,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS NOT COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 2YEAR, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKEN SO FAR, SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,BAGALKOTE,Jamkhandi,KANNOLLI / Gadyal,22/05/2025 03:52 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-JAMKHANDI,iPGRS-Call Center ,https://drive.google.com/file/d/1_oXIA6GZNZbNIjN4XJ7Asg4IOTYMAVt5/view?usp=sharing,
242227,CITIZEN SAYS THAT IN THEIR VILLAGE ANGANAVADI CENTRE POOR QUALITY OF WATER IS SUPPLIED AS WATER IS CONTAMINATED SINCE MANY MONTHS AND HE REQUEST THE OFFICER TO LOOK INTO MATTER AND SOLVE THE PROBLEM . PLEASE KINDLY DO NEEDFUL.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Water Quality problems,Contamination of Water seen,Non Sakala,HAVERI,Ranibennur,KARUR / Karur,22/05/2025 03:44 PM,Closed by Officer,,,L2,Executive Engineer-RDWS-Haveri,iPGRS-Call Center ,https://drive.google.com/file/d/1E-Y8BRAmdvn8-UfGvKoT4tJmCfa5zSRP/view?usp=sharing,
242174,"CITIZEN SAYS THAT IN HIS VILLAGE JAL JEEVAN MISSION TAP CONNECTION WORK IS NOT DONE PROPERLY (DRINKING NOT AVAILABLE IN TAPS) FROM PAST 1 YEAR, DUE TO THIS ISSUE CITIZENS ARE FACING ISSUES FOR DRINKING WATER, DUE TO THIS ISSUE CITIZEN VISITED RESPECTIVE DEPARTMENT BUT THERE IN NO PROPER RESPONSE FROM THEM AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,KALABURAGI,Kalaburagi,TAJ SULTANPUR / Taj Sultanpur,22/05/2025 12:45 PM,InProcess,10.0,,L3,Chief Executive Officer-ZP-CEO-KALABURAGI,iPGRS-Call Center ,https://drive.google.com/file/d/1j-xIZvAUHMNL07Z0gMNdWY6U1Z0syJZa/view?usp=sharing,
242052,"CITIZEN SAYS THAT THERE IS NO PROPER DRINAGE SYSTEM FROM PAST 5 YEARS. THEY COMPLINED TO CONCERN DEPARTMENT BUT NO ANY RESPONSE. PLEASE DO THE NEEDFUL.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Stagnant Water Mosquitos Breeding ,Non Sakala,MANDYA,Mandya,CHANDAGALU (DUDDA) / Chandagal,21/05/2025 03:45 PM,Closed by Officer,,,L2,Executive Officer-ZP -EO-MANDYA,iPGRS-Call Center ,,
241913,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS NOT COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 9 MONTHS, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKEN SO FAR, SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE",Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Disconnection of Water Supply ,Issues in Disconnection of Water Supply,Delay in Service Delivery,,Non Sakala,BAGALKOTE,ILKAL,KANDAGAL / Kandgal,21/05/2025 11:50 AM,Closed by Officer,,,LMF,Panchayat Development Officer(PDO) - ILKAL - KANDAGALL,iPGRS-Call Center ,https://drive.google.com/file/d/1DBs8ICiLaC-v6x6t1ielFrfn4lgf3Z20/view?usp=sharing,
241825,"The citizen states that in his Locality "" 2ND MAIN ROAD, NEAR RAMESH KIRANI STORE, Near MILK DAIRY, BYARASANDRA VILLAGE, ಭೈರಸಂದ್ರ-ವೆಂಕಟಾಪುರ, ಶಿಡ್ಲಘಟ್ಟ, ಚಿಕ್ಕಬಳ್ಳಾಪುರ - 562102 "" Internal roads fully damaged while JJM mission pipeline laying and people of that area facing severe problems due to this issue still JJM mission under process from past 2 years so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action. 
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Roads damaged while Jal Jeevan Mission pipe laying,Non Sakala,CHIKKABALLAPURA,Sidlaghatta,VENKATAPURA / Byarasandra,20/05/2025 04:17 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-SIDLAGHATTA,iPGRS-Call Center ,https://drive.google.com/file/d/1Ri111U2t1-G6EiHLXeO3DzjfaXoT-r_k/view?usp=sharing,
241790," citizen says that  , JJM work in his village has not been completed correctly, and they have been dealing with this problem for the one year. He visited the concerned department, but he did not receive a resolution. As the citizen requested, kindly take the necessary action.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,KALABURAGI,Afzalpur,NANDARAGA / Jevargi(B),20/05/2025 03:05 PM,Closed by Officer,,,L2,Executive Engineer-RDWS-KALABURAGI,iPGRS-Call Center ,https://drive.google.com/file/d/1xY58sG-cDRDjjaOttIQFyh-1FE7dp1eq/view?usp=sharing,
241724,CITIZEN SAYS THAT IN THEIR VILLAGE THERE IS NO PROPER DRINKING WATER SUPPLY DUE TO MOTOR GET REPAIRED AND ALSO PDO IS TAKING STEP TO REPAIR THE MOTOR BUT THE MOTOR GET REPAIRED REGULARLY AND THEY ARE FACING THIS ISSUE SINCE 6 MONTHS  . PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Disconnection of Water Supply ,Issues in Disconnection of Water Supply,Delay in Service Delivery,,Non Sakala,HASSAN,Channarayapatna,AKKANAHALLI / Akkanahalli,20/05/2025 02:12 PM,Closed by Officer,,,L2,Executive Officer -2-CHANNARAYAPATNA,iPGRS-Call Center ,https://drive.google.com/file/d/1Ttd0_mBjfwXcAYlkxtoddv8RVldygn45/view?usp=sharing,
241598,"The citizen states that in his Locality "" NEAR PRIMARY SCHOOL GADYAL, Near HINDU RUDRA BHOOMI, GADYAL VILLAGE, ಗದ್ಯಾಳ-ಕನ್ನೊಳ್ಳಿ, ಜಮಖಂಡಿ, ಬಾಗಲಕೋಟೆ - 587330 "" JJM work not work properly and used very low quality pipeline network for JJM Mission due to this issue water is unavailable from past 2.5 years so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Operation & Maintenance,Pipeline layed but no household tap provided,Non Sakala,BAGALKOTE,Jamkhandi,KANNOLLI / Gadyal,19/05/2025 03:52 PM,Closed by Officer,,,L2,Executive Engineer-RDWS-Bagalakote,iPGRS-Call Center ,https://drive.google.com/file/d/126X_BTgCjVUW2z22h8GDsXNXyKnE5tPt/view?usp=sharing,
241367,"The citizen claims that his village has not had proper road maintenance for the past nine years (since 2017). As a result, he is unable to travel from one location to another and has filed a grievance last time with ID 204061 and 234193. The citizen visited the relevant department, but they did not respond appropriately, so he asked that they please take the necessary action.",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,MYSURU,Tirumakudal - Narsipur,UKKALAGERE / Ukkalagere,18/05/2025 10:11 AM,Resolved (Feedback Taken),,,LMF,Assitance Executive Engineer-PRED-TIRUMAKUDAL-NARSIPUR,iPGRS-Call Center ,https://drive.google.com/file/d/1YA_87szEudfLW5Rczee133OoNNuxrxgV/view?usp=sharing,
